finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-07-08,96493684-0408-2,3733452761,EVT-SET-4PC-ACNE,1244.76,3014.0,1756.79,12.45,1769.24,58.7,0.0,NOT_PROVEN
2026-07-09,56930840-1301-1,3892345516,EVT-SET-HAND-CHERRY,591.43,1416.0,818.66,5.91,824.57,58.23,0.0,NOT_PROVEN
2026-07-09,0165406503-0109-1,3930712640,EVT-HC-AMBER-300,497.63,1230.0,727.39,4.98,732.37,59.54,0.0,NOT_PROVEN
2026-07-10,0135561752-0187-7,2974977988,EVT-FC-ACNE-50,532.29,980.0,442.39,5.32,447.71,45.68,0.0,NOT_PROVEN
2026-07-10,45950858-0570-5,3892518031,EVT-HC-CHERRY-300,432.38,1176.0,739.3,4.32,743.62,63.23,0.0,NOT_PROVEN
2026-07-11,0108994661-0444-1,3733452761,EVT-SET-4PC-ACNE,1122.86,3014.0,1879.91,11.23,1891.14,62.75,0.0,NOT_PROVEN
2026-07-11,0185211863-0348-21,2974977988,EVT-FC-ACNE-50,555.24,990.0,429.21,5.55,434.76,43.92,0.0,NOT_PROVEN
2026-07-11,0179497417-0075-3,3892345516,EVT-SET-HAND-CHERRY,611.43,1416.0,798.46,6.11,804.57,56.82,0.0,NOT_PROVEN
2026-07-12,0180077689-0909-3,1991772098,EVT-FS-MOIST-30,559.05,1060.0,495.36,5.59,500.95,47.26,0.0,NOT_PROVEN
2026-07-12,95668107-0106-3,3892223191,EVT-SET-CHERRY-AMBER,743.81,1563.0,811.75,7.44,819.19,52.41,0.0,NOT_PROVEN
2026-07-13,60898024-0103-1,1991772098,EVT-FS-MOIST-30,307.62,896.0,585.3,3.08,588.38,65.67,0.0,NOT_PROVEN
2026-07-14,0146583073-0455-1,3892345516,EVT-SET-HAND-CHERRY,578.62,1416.0,831.59,5.79,837.38,59.14,0.0,NOT_PROVEN
2026-07-14,77299780-0197-7,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1278.86,2989.0,1697.35,12.79,1710.14,57.21,0.0,NOT_PROVEN
2026-07-14,77299780-0197-5,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1278.86,2989.0,1697.35,12.79,1710.14,57.21,0.0,NOT_PROVEN
2026-07-14,77299780-0197-3,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1278.86,2989.0,1697.35,12.79,1710.14,57.21,0.0,NOT_PROVEN
2026-07-18,04762031-0348-1,1997079254,EVT-HC-HAND-300,280.0,586.0,303.2,2.8,306.0,52.22,0.0,NOT_PROVEN
2026-07-18,13616023-0409-8,3543342130,EVT-EP-ENZYME-75,519.05,1123.0,598.76,5.19,603.95,53.78,0.0,NOT_PROVEN
2026-07-18,0123634155-0195-2,1991772098,EVT-FS-MOIST-30,292.38,853.0,557.7,2.92,560.62,65.72,0.0,NOT_PROVEN
2026-07-18,0203673302-0040-1,3733452761,EVT-SET-4PC-ACNE,1662.86,2841.0,1161.51,16.63,1178.14,41.47,0.0,NOT_PROVEN
2026-07-19,0212099013-0655-1,1997079254,EVT-HC-HAND-300,369.52,650.0,276.78,3.7,280.48,43.15,0.0,NOT_PROVEN
2026-07-19,62872616-0370-1,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1114.29,2045.0,919.57,11.14,930.71,45.51,-0.0,NOT_PROVEN
2026-07-19,0222049648-0192-2,3735674506,EVT-SET-TON-SER-CREAM-ACNE,920.0,2045.0,1115.8,9.2,1125.0,55.01,0.0,NOT_PROVEN
2026-07-19,0190373639-0720-1,2974977988,EVT-FC-ACNE-50,362.29,1021.0,655.09,3.62,658.71,64.52,-0.0,NOT_PROVEN
2026-07-20,0141595182-0290-5,3543342130,EVT-EP-ENZYME-75,464.76,1123.0,653.59,4.65,658.24,58.61,0.0,NOT_PROVEN
2026-07-20,0141595182-0290-7,2974977988,EVT-FC-ACNE-50,417.14,1021.0,599.69,4.17,603.86,59.14,0.0,NOT_PROVEN
2026-07-20,0152034345-0505-1,2974977988,EVT-FC-ACNE-50,352.38,1021.0,665.1,3.52,668.62,65.49,0.0,NOT_PROVEN
