created_date,posting_number,order_id,order_number,status,substatus,ozon_sku,offer_id,internal_sku,quantity,price,old_price,total_discount_value,commission_amount,payout,is_cancelled,cancel_reason_id,source_raw_file
2026-06-14,0171363501-0093-1,36546273245,0171363501-0093,cancelled,posting_canceled,3530427102,535581675,EVT-FT-ACNE-150,1,1000.0,3144.8,2144.8,,0.0,yes,537,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-15,0209664376-0123-1,36560476520,0209664376-0123,delivered,posting_received,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,1,1377.0,4595.8099999999995,3218.81,,812.43,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-15,33084752-0121-1,36396125456,33084752-0121,delivered,posting_received,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,1,1651.0,5134.5,3483.5,,974.09,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-17,0252895771-0112-1,36351290539,0252895771-0112,cancelled,posting_canceled,3530427102,535581675,EVT-FT-ACNE-150,1,1000.0,3076.76,2076.76,,0.0,yes,506,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-20,49066688-0408-2,37146604800,49066688-0408,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2139.0,6560.810000000001,4421.810000000001,,1262.01,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-20,58412720-0566-23,37128903760,58412720-0566,cancelled,posting_canceled,3733452761,868597351,EVT-SET-4PC-ACNE,1,3061.0,9327.4,6266.4,,0.0,yes,504,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-20,41529303-0218-2,36273284055,41529303-0218,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1571.0,4738.77,3167.77,,926.89,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-24,0112629679-0143-1,36777946063,0112629679-0143,cancelled,posting_canceled,3528293526,535581674,EVT-FT-MOIST-150,1,872.0,2732.3199999999997,1860.32,,0.0,yes,79,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-25,57775754-0018-1,36908915770,57775754-0018,cancelled,posting_canceled,3892223191,930334397,EVT-SET-CHERRY-AMBER,1,1292.0,3883.96,2591.96,,0.0,yes,504,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-26,0133063480-0018-3,36665960824,0133063480-0018,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,823.0,2774.5200000000004,1951.5200000000002,,485.57,no,,raw/backfill_v1/seller/posting_fbo_202606.json
