date,ozon_sku,seller_price,sale_price,bonus,coinvestment,spp_pct,identity_check
2026-08-18,2974977988,1253.0,435.24,813.41,4.35,65.26,0.0
2026-08-19,1997079254,813.0,268.39,541.93,2.68,66.99,0.0
2026-08-19,2974977988,1289.0,519.05,764.76,5.19,59.73,0.0
2026-08-19,3528293526,996.0,364.85,627.5,3.65,63.37,0.0
2026-08-19,3530427102,998.0,611.88,386.12,0.0,38.69,0.0
2026-08-19,3735674506,1950.0,110.56,1838.33,1.11,94.33,0.0
2026-08-19,3892518031,1001.0,383.81,613.35,3.84,61.66,-0.0
2026-08-20,1991772098,1192.0,400.95,787.04,4.01,66.36,0.0
2026-08-20,1994674912,1208.0,479.05,724.16,4.79,60.34,0.0
2026-08-20,1997079254,813.0,338.1,471.52,3.38,58.41,0.0
2026-08-20,3528293526,996.0,397.18,594.85,3.97,60.12,0.0
2026-08-20,3530427102,998.0,256.19,739.25,2.56,74.33,0.0
2026-08-20,3530427102,986.0,399.05,582.96,3.99,59.53,0.0
2026-08-20,3733452761,2900.0,1477.14,1408.09,14.77,49.06,0.0
2026-08-20,3892223191,1153.0,59.84,1092.56,0.6,94.81,0.0
2026-08-20,3892345516,1195.0,785.71,401.43,7.86,34.25,0.0
2026-08-21,1991772098,1192.0,400.95,787.04,4.01,66.36,0.0
2026-08-21,1994674912,1208.0,489.1,714.01,4.89,59.51,-0.0
2026-08-21,2974977988,1133.0,465.09,663.26,4.65,58.95,0.0
2026-08-21,2974977988,1133.0,467.3,661.03,4.67,58.76,0.0
2026-08-21,3528293526,996.0,356.29,636.15,3.56,64.23,0.0
2026-08-21,3530427102,986.0,396.21,585.83,3.96,59.82,0.0
2026-08-21,3543342130,999.0,303.52,692.44,3.04,69.62,0.0
2026-08-21,3543342130,999.0,402.84,592.13,4.03,59.68,0.0
2026-08-21,3732641694,1407.0,835.99,562.65,8.36,40.58,0.0
2026-08-21,3735674506,1900.0,883.81,1007.35,8.84,53.48,0.0
2026-08-21,3735674506,1950.0,1443.7,506.3,0.0,25.96,0.0
2026-08-21,3735674506,1900.0,876.78,1014.45,8.77,53.85,0.0
2026-08-21,3892223191,1185.0,61.76,1122.62,0.62,94.79,0.0
2026-08-21,3930712640,967.0,494.34,472.66,0.0,48.88,0.0
2026-08-21,3930712640,959.0,370.27,585.03,3.7,61.39,0.0
2026-08-22,1991772098,1192.0,399.2,788.81,3.99,66.51,0.0
2026-08-23,1997079254,813.0,312.59,497.28,3.13,61.55,0.0
2026-08-23,3543342130,999.0,305.71,690.23,3.06,69.4,0.0
2026-08-23,3733452761,2958.0,1286.67,1658.46,12.87,56.5,0.0
2026-08-23,3892518031,1001.0,357.24,640.19,3.57,64.31,-0.0
2026-08-24,3543342130,999.0,324.94,674.06,0.0,67.47,0.0
2026-08-24,3543342130,999.0,300.95,695.04,3.01,69.87,0.0
2026-08-24,3543342130,1021.0,502.86,518.14,0.0,50.75,0.0
2026-08-24,3733947454,2000.0,811.43,1180.46,8.11,59.43,0.0
2026-08-24,3892410843,1139.0,476.96,657.27,4.77,58.12,0.0
2026-08-25,1991772098,904.0,308.79,592.12,3.09,65.84,-0.0
2026-08-25,2974977988,1183.0,533.33,644.34,5.33,54.92,0.0
2026-08-25,3530427102,986.0,400.95,585.05,0.0,59.34,0.0
2026-08-25,3530427102,986.0,301.9,681.08,3.02,69.38,0.0
2026-08-25,3735183318,1223.0,577.14,640.09,5.77,52.81,0.0
2026-08-25,3735183318,1223.0,462.93,755.44,4.63,62.15,-0.0
2026-08-25,3930712640,1009.0,570.48,438.52,0.0,43.46,0.0
2026-08-26,1997079254,813.0,333.96,479.04,0.0,58.92,0.0
2026-08-26,3543342130,1021.0,419.14,597.67,4.19,58.95,0.0
2026-08-26,3892345516,1245.0,744.76,492.79,7.45,40.18,0.0
2026-08-27,1994674912,1208.0,453.33,750.14,4.53,62.47,0.0
2026-08-27,1997079254,813.0,309.95,499.95,3.1,61.88,0.0
2026-08-27,3733452761,2958.0,1220.0,1725.8,12.2,58.76,0.0
2026-08-28,2974977988,1233.0,487.69,740.43,4.88,60.45,0.0
2026-08-28,2974977988,1183.0,577.3,605.7,0.0,51.2,0.0
2026-08-28,3528293526,1002.0,374.35,623.91,3.74,62.64,0.0
2026-08-28,3530427102,986.0,300.0,683.0,3.0,69.57,0.0
2026-08-28,3530427102,1036.0,503.17,532.83,0.0,51.43,0.0
2026-08-28,3735183318,1273.0,556.77,710.66,5.57,56.26,0.0
2026-08-28,3892518031,1001.0,455.24,541.21,4.55,54.52,0.0
2026-08-29,1994674912,1258.0,496.68,756.35,4.97,60.52,0.0
2026-08-29,3530427102,1036.0,417.14,614.69,4.17,59.74,0.0
2026-08-29,3733452761,2958.0,1496.19,1446.85,14.96,49.42,0.0
2026-08-29,3735183318,1273.0,552.21,715.27,5.52,56.62,0.0
2026-08-29,4843362212,1421.0,559.05,856.36,5.59,60.66,0.0
2026-08-30,3528293526,1096.0,36.24,1059.4,0.36,96.69,0.0
2026-08-30,3530427102,1086.0,374.29,707.97,3.74,65.53,0.0
2026-08-31,1997079254,913.0,261.9,648.48,2.62,71.31,0.0
