internal_sku,ozon_sku,is_bundle,maturity_class,aug_actual,share,scenario,sep,oct,nov,dec,confidence
EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,yes,DEVELOPING,1,0.0056,SEASONAL,1,1,2,2,LOW
EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,yes,DEVELOPING,1,0.0056,OWNER_TARGET,3,6,8,17,LOW
EVT-SET-ACNE-TONIC-SERUM,4843362212,yes,DEVELOPING,1,0.0056,BASE,1,1,1,2,LOW
EVT-SET-ACNE-TONIC-SERUM,4843362212,yes,DEVELOPING,1,0.0056,SEASONAL,1,1,2,2,LOW
EVT-SET-ACNE-TONIC-SERUM,4843362212,yes,DEVELOPING,1,0.0056,OWNER_TARGET,3,6,8,17,LOW
EVT-FC-MOIST-50,2969806788,no,COLD_START,0,0,BASE,0,0,0,0,LOW
EVT-FC-MOIST-50,2969806788,no,COLD_START,0,0,SEASONAL,0,0,0,0,LOW
EVT-FC-MOIST-50,2969806788,no,COLD_START,0,0,OWNER_TARGET,0,0,0,0,LOW
EVT-SET-SER-CREAM-MOIST,3732933477,yes,COLD_START,0,0,BASE,0,0,0,0,LOW
EVT-SET-SER-CREAM-MOIST,3732933477,yes,COLD_START,0,0,SEASONAL,0,0,0,0,LOW
EVT-SET-SER-CREAM-MOIST,3732933477,yes,COLD_START,0,0,OWNER_TARGET,0,0,0,0,LOW
