date,period_label,internal_sku,ozon_sku,seller_revenue,quantity,actual_commission_ratio,cogs_unit,cogs_total,marketplace_commission,logistics,other_marketplace_cost,cpc_spend,search_promo_spend,first_review_promo_spend,other_confirmed_marketing_cost,total_marketing_cost_confirmed,ref_product_cogs_unproven,profit_before_marketing,profit_after_confirmed_marketing,margin_before_marketing_pct,margin_after_confirmed_marketing_pct,drr_cpc_pct,drr_total_marketing_pct,cogs_status
2026-06-03,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-03,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,9.17,NOT_APPLICABLE,0.0,0,9.17,NOT_PROVEN,0.0,-9.17,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-04,A_commission_41,EVT-HC-HAND-300,1997079254,530.0,1,0.41,240.0,240.0,217.3,91.29,0.0,6.99,NOT_APPLICABLE,0.0,0,6.99,NOT_PROVEN,-18.59,-25.58,-3.51,-4.83,1.32,1.32,OK
2026-06-04,A_commission_41,EVT-FT-MOIST-150,3528293526,730.0,1,0.41,182.0,182.0,299.3,74.6,0.0,28.45,NOT_APPLICABLE,0.0,0,28.45,NOT_PROVEN,174.1,145.65,23.85,19.95,3.9,3.9,OK
2026-06-04,A_commission_41,EVT-FT-ACNE-150,3530427102,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,19.88,NOT_APPLICABLE,0.0,0,19.88,NOT_PROVEN,0.0,-19.88,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-04,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,0.0,0,NOT_AVAILABLE,310.0,0.0,0.0,0.0,0.0,18.6,NOT_APPLICABLE,0.0,0,18.6,NOT_PROVEN,0.0,-18.6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-04,A_commission_41,EVT-SET-4PC-ACNE,3733452761,0.0,0,NOT_AVAILABLE,651.0,0.0,0.0,154.61,15.0,14.14,NOT_APPLICABLE,0.0,0,14.14,NOT_PROVEN,-169.61,-183.75,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-04,A_commission_41,EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,0.0,0,NOT_AVAILABLE,469.0,0.0,0.0,0.0,0.0,6.74,NOT_APPLICABLE,0.0,0,6.74,NOT_PROVEN,0.0,-6.74,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-04,A_commission_41,EVT-SET-TON-SER-CREAM-ACNE,3735674506,1612.0,1,0.41,492.0,492.0,660.92,232.64,15.0,24.59,NOT_APPLICABLE,0.0,0,24.59,NOT_PROVEN,211.44,186.85,13.12,11.59,1.53,1.53,OK
2026-06-04,A_commission_41,EVT-SET-CHERRY-AMBER,3892223191,0.0,0,NOT_AVAILABLE,344.0,0.0,0.0,0.0,0.0,20.5,NOT_APPLICABLE,0.0,0,20.5,NOT_PROVEN,0.0,-20.5,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
