date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-10,27307598,EVETIS_CPC_LEGACY,ARCHIVED,32.29,0.0,0.0,136,10,0,0.0,7.3529,3.229,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260610.csv
2026-06-10,27443733,EVETIS_CPC_LEGACY,ARCHIVED,264.54,0.0,0.0,1576,47,0,0.0,2.9822,5.6285,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260610.csv
2026-06-11,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,169,5,0,0.0,2.9586,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-11,27251978,EVETIS_CPC_LEGACY,ARCHIVED,81.83,0.0,0.0,526,21,0,0.0,3.9924,3.8967,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260611.csv
2026-06-11,27307535,EVETIS_CPC_LEGACY,ARCHIVED,91.9,0.0,0.0,919,11,0,0.0,1.197,8.3545,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260611.csv
2026-06-11,27307598,EVETIS_CPC_LEGACY,ARCHIVED,29.68,0.0,0.0,141,9,0,0.0,6.383,3.2978,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260611.csv
2026-06-11,27443733,EVETIS_CPC_LEGACY,ARCHIVED,207.12,0.0,0.0,1472,39,0,0.0,2.6495,5.3108,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260611.csv
2026-06-12,14503166,SEARCH_PROMO,RUNNING,360.0,0.0,0.0,186,2,2,3600.0,1.0753,180.0,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260612.csv
2026-06-12,27251978,EVETIS_CPC_LEGACY,ARCHIVED,56.39,0.0,0.0,460,14,0,0.0,3.0435,4.0279,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260612.csv
2026-06-12,27307535,EVETIS_CPC_LEGACY,ARCHIVED,82.02,0.0,0.0,810,11,0,0.0,1.358,7.4564,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260612.csv
2026-06-12,27307598,EVETIS_CPC_LEGACY,ARCHIVED,10.18,0.0,0.0,126,3,0,0.0,2.381,3.3933,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260612.csv
2026-06-12,27443733,EVETIS_CPC_LEGACY,ARCHIVED,331.8,0.0,0.0,1378,60,0,0.0,4.3541,5.53,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260612.csv
2026-06-13,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,148,2,0,0.0,1.3514,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-13,27251978,EVETIS_CPC_LEGACY,ARCHIVED,106.17,0.0,0.0,626,22,0,0.0,3.5144,4.8259,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260613.csv
2026-06-13,27307535,EVETIS_CPC_LEGACY,ARCHIVED,130.49,0.0,0.0,798,14,0,0.0,1.7544,9.3207,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260613.csv
2026-06-13,27307598,EVETIS_CPC_LEGACY,ARCHIVED,3.89,0.0,0.0,192,1,0,0.0,0.5208,3.89,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260613.csv
2026-06-13,27443733,EVETIS_CPC_LEGACY,ARCHIVED,288.02,0.0,0.0,1602,48,0,0.0,2.9963,6.0004,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260613.csv
