date,marketing_cost_type,campaign_id,ozon_sku,offer_id,internal_sku,cash_cost_rub,product_cogs_cost_rub,total_marketing_cost_rub,evidence_status,primary_source,finance_type_id,source_raw_file
2026-06-09,CPC_MEDIA,27307535,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,58.95,NOT_APPLICABLE,58.95,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260609.json
2026-06-09,CPC_MEDIA,27307598,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,19.84,NOT_APPLICABLE,19.84,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260609.json
2026-06-09,CPC_MEDIA,27443733,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,159.4,NOT_APPLICABLE,159.4,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260609.json
2026-06-09,SEARCH_PROMO_CPO,14503166,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,163.0,NOT_APPLICABLE,163.0,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,54,raw/backfill_v1/finance/accrual_by_day_20260609.json
2026-06-10,CPC_MEDIA,27251978,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,49.79,NOT_APPLICABLE,49.79,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260610.json
2026-06-10,CPC_MEDIA,27307535,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,102.7,NOT_APPLICABLE,102.7,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260610.json
2026-06-10,CPC_MEDIA,27307598,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,32.29,NOT_APPLICABLE,32.29,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260610.json
2026-06-10,CPC_MEDIA,27443733,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,264.54,NOT_APPLICABLE,264.54,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260610.json
2026-06-11,CPC_MEDIA,27251978,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,81.83,NOT_APPLICABLE,81.83,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260611.json
2026-06-11,CPC_MEDIA,27307535,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,91.9,NOT_APPLICABLE,91.9,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260611.json
